date: 2026-08-01, time: 12:00, team_home: Вишнёвые Краги, team_guest: Изумрудные Стражи, surface: Вишнёвая Застава
date: 2026-08-01, time: 15:00, team_home: Лунные Кони, team_guest: Сказочные Нити, surface: Луногорье
date: 2026-08-01, time: 18:00, team_home: Путешественники-Кометы, team_guest: Одуванчиковый Отряд, surface: Дальний Бугор
date: 2026-08-02, time: 12:00, team_home: Радужные Мосты, team_guest: Изумрудные Стражи, surface: Светлый Порог
date: 2026-08-02, time: 15:00, team_home: Туманные Шалопаи, team_guest: Речной Сонет, surface: Туманный Перевал
date: 2026-08-02, time: 18:00, team_home: Сказочные Нити, team_guest: Берёзовые Струны, surface: Златолесье
date: 2026-08-07, time: 12:00, team_home: Речной Сонет, team_guest: Хохотунчики, surface: Качаловка
date: 2026-08-07, time: 15:00, team_home: Туманные Шалопаи, team_guest: Соломенные Валы, surface: Туманный Перевал
date: 2026-08-07, time: 18:00, team_home: Шелковые Крылья, team_guest: Одуванчиковый Отряд, surface: Тихий Сад
date: 2026-08-08, time: 12:00, team_home: Одуванчиковый Отряд, team_guest: Хрустальные Флаги, surface: Полянка Дубровна
date: 2026-08-08, time: 15:00, team_home: Шелковые Крылья, team_guest: Радужные Мосты, surface: Тихий Сад
date: 2026-08-08, time: 18:00, team_home: Снежные Ласточки, team_guest: Лунные Кони, surface: Снежноград
date: 2026-08-09, time: 12:00, team_home: Туманные Шалопаи, team_guest: Пурпурные Мячники, surface: Туманный Перевал
date: 2026-08-09, time: 15:00, team_home: Хохотунчики, team_guest: Рыжие Погоны, surface: Бархатный Холм
date: 2026-08-09, time: 18:00, team_home: Сказочные Нити, team_guest: Шелковые Крылья, surface: Златолесье
date: 2026-08-14, time: 12:00, team_home: Сказочные Нити, team_guest: Хрустальные Флаги, surface: Златолесье
date: 2026-08-14, time: 15:00, team_home: Шелковые Крылья, team_guest: Снежные Ласточки, surface: Тихий Сад
date: 2026-08-14, time: 18:00, team_home: Соломенные Валы, team_guest: Изумрудные Стражи, surface: Липовый Бор
date: 2026-08-15, time: 12:00, team_home: Лунные Кони, team_guest: Одуванчиковый Отряд, surface: Луногорье
date: 2026-08-15, time: 15:00, team_home: Снежные Ласточки, team_guest: Радужные Мосты, surface: Снежноград
date: 2026-08-15, time: 18:00, team_home: Берёзовые Струны, team_guest: Сказочные Нити, surface: Берёзовая Роща
